Site,Date,Analyte,Result
HAT,2018-09-14,Ammonia (N),0.237706511
HAT,2018-09-14,Nitrate-Nitrite (N),0.069039773
HAT,2018-09-14,Orthophosphate (P),0.104621817
HAT,2018-10-18,Ammonia (N),0.125190779
HAT,2018-10-18,Nitrate-Nitrite (N),0.185678457
HAT,2018-10-18,Orthophosphate (P),0.205612092
HAT,2018-10-31,Ammonia (N),0.207266541
HAT,2018-10-31,Nitrate-Nitrite (N),0.20771115
HAT,2018-10-31,Orthophosphate (P),0.235731097
HAT,2018-11-08,Ammonia (N),0.078749416
HAT,2018-11-08,Nitrate-Nitrite (N),0.135545378
HAT,2018-11-08,Orthophosphate (P),0.224899523
HAT,2018-11-13,Ammonia (N),0.091148787
HAT,2018-11-13,Nitrate-Nitrite (N),0.110586799
HAT,2018-11-13,Orthophosphate (P),0.215538336
HAT,2018-11-29,Ammonia (N),0.118133328
HAT,2018-11-29,Nitrate-Nitrite (N),0.057468702
HAT,2018-11-29,Orthophosphate (P),0.222159124
HAT,2018-12-05,Ammonia (N),0.008691157
HAT,2018-12-05,Nitrate-Nitrite (N),0.057913344
HAT,2018-12-05,Orthophosphate (P),0.575079236
HAT,2018-12-20,Ammonia (N),0.283476349
HAT,2018-12-20,Nitrate-Nitrite (N),0.088811298
HAT,2018-12-20,Orthophosphate (P),0.258076359
HAT,2019-01-04,Ammonia (N),0.017150835
HAT,2019-01-04,Nitrate-Nitrite (N),0.022898304
HAT,2019-01-04,Orthophosphate (P),0.05534481
HAT,2019-01-18,Ammonia (N),0.265256002
HAT,2019-01-18,Nitrate-Nitrite (N),0.032732687
HAT,2019-01-18,Orthophosphate (P),0.065443278
HAT,2019-01-25,Ammonia (N),0.01029808
HAT,2019-01-25,Nitrate-Nitrite (N),0.017435434
HAT,2019-01-25,Orthophosphate (P),0.102733338
HAT,2019-02-06,Ammonia (N),0.410994029
HAT,2019-02-06,Nitrate-Nitrite (N),0.018542295
HAT,2019-02-06,Orthophosphate (P),0.06088583
HAT,2019-02-20,Ammonia (N),0.089939177
HAT,2019-02-20,Nitrate-Nitrite (N),0.049764958
HAT,2019-02-20,Orthophosphate (P),0.08581405
HAT,2019-03-22,Ammonia (N),1.13473527
HAT,2019-03-22,Nitrate-Nitrite (N),0.093439079
HAT,2019-03-22,Orthophosphate (P),0.120361491
HAT,2019-04-03,Ammonia (N),0.268670452
HAT,2019-04-03,Nitrate-Nitrite (N),0.090630674
HAT,2019-04-03,Orthophosphate (P),0.159448409
HAT,2019-04-24,Ammonia (N),0.011837411
HAT,2019-04-24,Nitrate-Nitrite (N),0.082494986
HAT,2019-04-24,Orthophosphate (P),0.140891188
HAT,2019-05-07,Ammonia (N),0.170017582
HAT,2019-05-07,Nitrate-Nitrite (N),0.090427513
HAT,2019-05-07,Orthophosphate (P),0.112113871
HAT,2019-05-24,Ammonia (N),0.287302893
HAT,2019-05-24,Nitrate-Nitrite (N),0.047062508
HAT,2019-05-24,Orthophosphate (P),0.141272803
HAT,2019-06-06,Ammonia (N),0.012094518
HAT,2019-06-06,Nitrate-Nitrite (N),0.007537459
HAT,2019-06-06,Orthophosphate (P),0.300725437
HAT,2019-06-18,Ammonia (N),0.004
HAT,2019-06-18,Nitrate-Nitrite (N),0.126158535
HAT,2019-06-18,Orthophosphate (P),0.171791865
HAT,2019-07-09,Ammonia (N),0.01989755
HAT,2019-07-09,Nitrate-Nitrite (N),0.099610019
HAT,2019-07-09,Orthophosphate (P),0.104625951
HAT,2019-07-29,Ammonia (N),0.004
HAT,2019-07-29,Nitrate-Nitrite (N),0.049632143
HAT,2019-07-29,Orthophosphate (P),0.018088271
HAT,2019-08-14,Ammonia (N),0.022744659
HAT,2019-08-14,Nitrate-Nitrite (N),0.095595117
HAT,2019-08-14,Orthophosphate (P),0.027388728
HAT,2019-08-28,Ammonia (N),0.00286954
HAT,2019-08-28,Nitrate-Nitrite (N),0.0015
HAT,2019-08-28,Orthophosphate (P),0.080236457
HAT,2019-09-11,Ammonia (N),0.004
HAT,2019-09-11,Nitrate-Nitrite (N),0.091246753
HAT,2019-09-11,Orthophosphate (P),0.081350544
HAT,2019-09-25,Ammonia (N),0.004
HAT,2019-09-25,Nitrate-Nitrite (N),0.100238399
HAT,2019-09-25,Orthophosphate (P),0.104097178
HAT,2019-10-09,Ammonia (N),0.004
HAT,2019-10-09,Nitrate-Nitrite (N),0.0015
HAT,2019-10-09,Orthophosphate (P),0.117658193
HAT,2019-10-23,Ammonia (N),0.004
HAT,2019-10-23,Nitrate-Nitrite (N),0.070823388
HAT,2019-10-23,Orthophosphate (P),0.145860239
HAT,2019-11-06,Ammonia (N),0.012658768
HAT,2019-11-06,Nitrate-Nitrite (N),0.056062853
HAT,2019-11-06,Orthophosphate (P),0.09860677
HAT,2019-11-20,Ammonia (N),0.004
HAT,2019-11-20,Nitrate-Nitrite (N),0.060857631
HAT,2019-11-20,Orthophosphate (P),0.094475319
HAT,2019-12-17,Ammonia (N),0.004
HAT,2019-12-17,Nitrate-Nitrite (N),0.04285312
HAT,2019-12-17,Orthophosphate (P),0.129354601
HAT,2020-01-10,Ammonia (N),0.008278148
HAT,2020-01-10,Nitrate-Nitrite (N),0.0015
HAT,2020-01-10,Orthophosphate (P),0.047892971
HAT,2020-02-12,Ammonia (N),0.027165116
HAT,2020-02-12,Nitrate-Nitrite (N),0.015718177
HAT,2020-02-12,Orthophosphate (P),0.097259147
HAT,2020-02-28,Ammonia (N),0.024624505
HAT,2020-02-28,Nitrate-Nitrite (N),0.0015
HAT,2020-02-28,Orthophosphate (P),0.09543639
HAT,2020-03-12,Ammonia (N),0.211481076
HAT,2020-03-12,Nitrate-Nitrite (N),0.028631066
HAT,2020-03-12,Orthophosphate (P),0.109926647
HAT,2020-06-26,Ammonia (N),0.198485209
HAT,2020-06-26,Nitrate-Nitrite (N),0.049613899
HAT,2020-06-26,Orthophosphate (P),0.080980542
HAT,2020-07-16,Ammonia (N),0.010523756
HAT,2020-07-16,Nitrate-Nitrite (N),0.096144459
HAT,2020-07-16,Orthophosphate (P),0.079515707
HAT,2020-07-28,Ammonia (N),0.139659083
HAT,2020-07-28,Nitrate-Nitrite (N),0.148140528
HAT,2020-07-28,Orthophosphate (P),0.12965646
HAT,2020-08-14,Ammonia (N),0.110989659
HAT,2020-08-14,Nitrate-Nitrite (N),0.052136398
HAT,2020-08-14,Orthophosphate (P),0.163838414
HAT,2020-08-24,Ammonia (N),0.016837803
