Site,Date,Analyte,Result
HAT,2018-09-14,Dissolved Oxygen,5.84
HAT,2018-09-14,Dissolved Oxygen Saturation,71.7
HAT,2018-09-14,pH,6.15
HAT,2018-09-14,"Temperature, Water",25.6
HAT,2018-09-14,Turbidity,3.3
HAT,2018-10-18,Dissolved Oxygen,4.35
HAT,2018-10-18,Dissolved Oxygen Saturation,52.3
HAT,2018-10-18,pH,6.66
HAT,2018-10-18,Specific Conductance,97.7
HAT,2018-10-18,"Temperature, Water",24.3
HAT,2018-10-31,Dissolved Oxygen,6.69
HAT,2018-10-31,Dissolved Oxygen Saturation,69.6
HAT,2018-10-31,pH,7.1
HAT,2018-10-31,Specific Conductance,96.4
HAT,2018-10-31,"Temperature, Water",17.4
HAT,2018-10-31,Turbidity,1.6
HAT,2018-11-08,Dissolved Oxygen,6.55
HAT,2018-11-08,Dissolved Oxygen Saturation,74.9
HAT,2018-11-08,pH,6.87
HAT,2018-11-08,Specific Conductance,98
HAT,2018-11-08,"Temperature, Water",22
HAT,2018-11-08,Turbidity,0.03
HAT,2018-11-13,Dissolved Oxygen,6.09
HAT,2018-11-13,Dissolved Oxygen Saturation,69.3
HAT,2018-11-13,pH,6.98
HAT,2018-11-13,Specific Conductance,112.3
HAT,2018-11-13,"Temperature, Water",21.7
HAT,2018-11-13,Turbidity,1.08
HAT,2018-11-29,Dissolved Oxygen,10.01
HAT,2018-11-29,Dissolved Oxygen Saturation,89.9
HAT,2018-11-29,pH,7.24
HAT,2018-11-29,Specific Conductance,93.2
HAT,2018-11-29,"Temperature, Water",10.06
HAT,2018-11-29,Turbidity,1.86
HAT,2018-12-05,Dissolved Oxygen,8.5
HAT,2018-12-05,Dissolved Oxygen Saturation,84.1
HAT,2018-12-05,pH,7
HAT,2018-12-05,Specific Conductance,98.4
HAT,2018-12-05,"Temperature, Water",14.9
HAT,2018-12-05,Turbidity,1.43
HAT,2018-12-20,Dissolved Oxygen,8.93
HAT,2018-12-20,Dissolved Oxygen Saturation,83.8
HAT,2018-12-20,pH,6.09
HAT,2018-12-20,Specific Conductance,71.2
HAT,2018-12-20,"Temperature, Water",14.8
HAT,2018-12-20,Turbidity,2.63
HAT,2019-01-04,Dissolved Oxygen,6.93
HAT,2019-01-04,Dissolved Oxygen Saturation,75.5
HAT,2019-01-04,pH,6.29
HAT,2019-01-04,Specific Conductance,73.1
HAT,2019-01-04,"Temperature, Water",19.4
HAT,2019-01-04,Turbidity,1.2
HAT,2019-01-18,Dissolved Oxygen,9.91
HAT,2019-01-18,Dissolved Oxygen Saturation,89.9
HAT,2019-01-18,pH,6.78
HAT,2019-01-18,Specific Conductance,74.8
HAT,2019-01-18,"Temperature, Water",10.9
HAT,2019-01-18,Turbidity,2.3
HAT,2019-01-25,Dissolved Oxygen,8.58
HAT,2019-01-25,Dissolved Oxygen Saturation,82
HAT,2019-01-25,pH,5.77
HAT,2019-01-25,Specific Conductance,57.8
HAT,2019-01-25,"Temperature, Water",13.1
HAT,2019-01-25,Turbidity,2.75
HAT,2019-02-06,Dissolved Oxygen,8.32
HAT,2019-02-06,Dissolved Oxygen Saturation,84.9
HAT,2019-02-06,pH,5.9
HAT,2019-02-06,Specific Conductance,59.6
HAT,2019-02-06,"Temperature, Water",16.2
HAT,2019-02-06,Turbidity,1.53
HAT,2019-02-20,Dissolved Oxygen,7.27
HAT,2019-02-20,Dissolved Oxygen Saturation,79.4
HAT,2019-02-20,pH,6.02
HAT,2019-02-20,Specific Conductance,72.2
