Site,Date,Time,REP,Analyte,Result
HAT,2019-01-18,10:38:00,a,NH4,0.3257
HAT,2019-01-18,10:38:00,b,NH4,0.3925
HAT,2019-01-18,10:38:00,c,NH4,0.1658
HAT,2019-01-25,11:13:00,a,NH4,0.0269
HAT,2019-01-25,11:13:00,b,NH4,-0.0121
HAT,2019-01-25,11:13:00,c,NH4,0.0185
HAT,2019-01-04,10:34:00,a,NH4,0.0951
HAT,2019-01-04,10:34:00,b,NH4,0.1035
HAT,2019-01-04,10:34:00,c,NH4,0.0991
HAT,2018-10-18,10:55:00,a,NH4,0.1091
HAT,2018-10-18,10:55:00,b,NH4,0.1275
HAT,2018-10-18,10:55:00,c,NH4,0.10780000000000001
HAT,2018-10-31,11:32:00,a,NH4,0.1316
HAT,2018-10-31,11:32:00,b,NH4,0.2528
HAT,2018-10-31,11:32:00,c,NH4,0.2746
HAT,2018-11-13,12:54:00,a,NH4,0.0773
HAT,2018-11-13,12:54:00,b,NH4,0.0796
HAT,2018-11-13,12:54:00,c,NH4,0.0926
HAT,2018-11-29,12:37:00,a,NH4,0.1039
HAT,2018-11-29,12:37:00,b,NH4,0.1184
HAT,2018-11-29,12:37:00,c,NH4,0.108
HAT,2018-11-08,12:18:00,a,NH4,0.1146
HAT,2018-11-08,12:18:00,b,NH4,0.0342
HAT,2018-11-08,12:18:00,c,NH4,0.077
HAT,2018-12-20,11:51:00,a,NH4,0.249
HAT,2018-12-20,11:51:00,b,NH4,0.3508
HAT,2018-12-20,11:51:00,c,NH4,0.2803
HAT,2018-12-05,10:54:00,a,NH4,-0.0064
HAT,2018-12-05,10:54:00,b,NH4,0.0131
HAT,2018-12-05,10:54:00,c,NH4,-0.0032
HAT,2019-02-06,13:41:00,a,NH4,0.5272
HAT,2019-02-06,13:41:00,b,NH4,0.5029
HAT,2019-02-06,13:41:00,c,NH4,0.2439
HAT,2018-09-14,11:06:00,a,NH4,0.2143
HAT,2018-09-14,11:06:00,b,NH4,0.2015
HAT,2018-09-14,11:06:00,c,NH4,0.2994
HOGDN,2019-01-18,09:14:00,a,NH4,0.2728
HOGDN,2019-01-18,09:14:00,b,NH4,0.1965
HOGDN,2019-01-18,09:14:00,c,NH4,0.1664
HOGDN,2019-01-25,09:49:00,a,NH4,-0.0226
HOGDN,2019-01-25,09:49:00,b,NH4,-0.002
HOGDN,2019-01-25,09:49:00,c,NH4,-0.01
HOGDN,2019-01-04,09:15:00,a,NH4,-3e-4
HOGDN,2019-01-04,09:15:00,b,NH4,0.0489
HOGDN,2019-01-04,09:15:00,c,NH4,0.0304
HOGDN,2018-10-18,12:38:00,a,NH4,0.0806
HOGDN,2018-10-18,12:38:00,b,NH4,0.1168
HOGDN,2018-10-18,12:38:00,c,NH4,0.0993
HOGDN,2018-10-31,09:46:00,a,NH4,0.3413
HOGDN,2018-10-31,09:46:00,b,NH4,0.1882
HOGDN,2018-10-31,09:46:00,c,NH4,0.2428
HOGDN,2018-11-13,11:17:00,a,NH4,0.031
HOGDN,2018-11-13,11:17:00,b,NH4,0.0106
HOGDN,2018-11-13,11:17:00,c,NH4,0.0208
HOGDN,2018-11-29,11:05:00,a,NH4,0.2362
HOGDN,2018-11-29,11:05:00,b,NH4,0.1749
HOGDN,2018-11-29,11:05:00,c,NH4,0.2918
HOGDN,2018-11-08,13:45:00,a,NH4,0.1434
HOGDN,2018-11-08,13:45:00,b,NH4,0.1257
HOGDN,2018-11-08,13:45:00,c,NH4,0.116
HOGDN,2018-12-20,10:28:00,a,NH4,0.3491
HOGDN,2018-12-20,10:28:00,b,NH4,0.1637
HOGDN,2018-12-20,10:28:00,c,NH4,0.114
HOGDN,2018-12-05,09:29:00,a,NH4,0.0252
HOGDN,2018-12-05,09:29:00,b,NH4,0.0375
HOGDN,2018-12-05,09:29:00,c,NH4,0.0209
HOGDN,2019-02-06,12:08:00,a,NH4,0.4414
HOGDN,2019-02-06,12:08:00,b,NH4,0.6365
HOGDN,2019-02-06,12:08:00,c,NH4,0.8353
HOGNW16,2019-01-18,09:59:00,a,NH4,0.7202
HOGNW16,2019-01-18,09:59:00,b,NH4,0.6888
HOGNW16,2019-01-18,09:59:00,c,NH4,0.3684
HOGNW16,2019-01-25,10:33:00,a,NH4,0.0132
HOGNW16,2019-01-25,10:33:00,b,NH4,0.014
HOGNW16,2019-01-25,10:33:00,c,NH4,0.018
HOGNW16,2019-01-04,09:51:00,a,NH4,0.0553
HOGNW16,2019-01-04,09:51:00,b,NH4,0.0215
HOGNW16,2019-01-04,09:51:00,c,NH4,0.0225
HOGNW16,2018-10-18,11:30:00,a,NH4,0.0491
HOGNW16,2018-10-18,11:30:00,b,NH4,0.0448
HOGNW16,2018-10-18,11:30:00,c,NH4,0.051
HOGNW16,2018-10-31,10:36:00,a,NH4,1.3794
HOGNW16,2018-10-31,10:36:00,b,NH4,1.1531
HOGNW16,2018-10-31,10:36:00,c,NH4,1.6895
HOGNW16,2018-11-13,12:13:00,a,NH4,0.0112
HOGNW16,2018-11-13,12:13:00,b,NH4,0.0251
HOGNW16,2018-11-13,12:13:00,c,NH4,0.0164
HOGNW16,2018-11-29,11:47:00,a,NH4,0.0986
HOGNW16,2018-11-29,11:47:00,b,NH4,0.0997
HOGNW16,2018-11-29,11:47:00,c,NH4,0.0582
HOGNW16,2018-11-08,12:53:00,a,NH4,0.1236
HOGNW16,2018-11-08,12:53:00,b,NH4,0.0526
HOGNW16,2018-11-08,12:53:00,c,NH4,0.0883
HOGNW16,2018-12-20,11:11:00,a,NH4,0.791
HOGNW16,2018-12-20,11:11:00,b,NH4,0.3045
HOGNW16,2018-12-20,11:11:00,c,NH4,0.4524
HOGNW16,2018-12-05,10:12:00,a,NH4,0.0202
HOGNW16,2018-12-05,10:12:00,b,NH4,0.0154
HOGNW16,2018-12-05,10:12:00,c,NH4,-0.0034
HOGNW16,2018-09-14,13:25:00,a,NH4,0.2018
HOGNW16,2018-09-14,13:25:00,b,NH4,0.2429
HOGNW16,2018-09-14,13:25:00,c,NH4,0.2552
POSNW16,2019-01-18,09:39:00,a,NH4,0.3967
POSNW16,2019-01-18,09:39:00,b,NH4,0.4485
POSNW16,2019-01-18,09:39:00,c,NH4,0.6049
POSNW16,2019-01-25,10:14:00,a,NH4,0.0126
POSNW16,2019-01-25,10:14:00,b,NH4,-0.0107
POSNW16,2019-01-25,10:14:00,c,NH4,-0.0145
POSNW16,2019-01-04,09:38:00,a,NH4,0.01
POSNW16,2019-01-04,09:38:00,b,NH4,0.0387
POSNW16,2019-01-04,09:38:00,c,NH4,0.0444
POSNW16,2018-10-18,11:55:00,a,NH4,0.0275
POSNW16,2018-10-18,11:55:00,b,NH4,0.0412
