Site,Date,Time,Analyte,Result
HAT,2019-01-18,10:38:00,DO,9.91
HAT,2019-01-25,11:13:00,DO,8.58
HAT,2019-01-04,10:34:00,DO,6.93
HAT,2018-10-18,10:55:00,DO,4.35
HAT,2018-10-31,11:32:00,DO,6.69
HAT,2018-11-13,12:54:00,DO,6.09
HAT,2018-11-29,12:37:00,DO,10.01
HAT,2018-11-08,12:18:00,DO,6.55
HAT,2018-12-20,11:51:00,DO,8.93
HAT,2018-12-05,10:54:00,DO,8.5
HAT,2019-02-06,13:41:00,DO,8.32
HAT,2018-09-14,11:06:00,DO,5.84
HOGDN,2019-01-18,09:14:00,DO,8.23
HOGDN,2019-01-25,09:49:00,DO,6.6
HOGDN,2019-01-04,09:15:00,DO,4.05
HOGDN,2018-10-18,12:38:00,DO,4
HOGDN,2018-10-31,09:46:00,DO,7.22
HOGDN,2018-11-13,11:17:00,DO,5.67
HOGDN,2018-11-29,11:05:00,DO,9.55
HOGDN,2018-11-08,13:45:00,DO,6.25
HOGDN,2018-12-20,10:28:00,DO,6.63
HOGDN,2018-12-05,09:29:00,DO,6.85
HOGDN,2019-02-06,12:08:00,DO,4.82
HOGNW16,2019-01-18,09:59:00,DO,9.93
HOGNW16,2019-01-25,10:33:00,DO,10.01
HOGNW16,2019-01-04,09:51:00,DO,8.26
HOGNW16,2018-10-18,11:30:00,DO,7.59
HOGNW16,2018-10-31,10:36:00,DO,8.69
HOGNW16,2018-11-13,12:13:00,DO,7.9
HOGNW16,2018-11-29,11:47:00,DO,10.16
HOGNW16,2018-11-08,12:53:00,DO,7.83
HOGNW16,2018-12-20,11:11:00,DO,8.81
HOGNW16,2018-12-05,10:12:00,DO,9.65
HOGNW16,2018-09-14,13:25:00,DO,7.46
POSNW16,2019-01-18,09:39:00,DO,10.16
POSNW16,2019-01-25,10:14:00,DO,10.09
POSNW16,2019-01-04,09:38:00,DO,8.49
POSNW16,2018-10-18,11:55:00,DO,8.03
POSNW16,2018-10-31,10:15:00,DO,9.1
POSNW16,2018-11-13,11:54:00,DO,8.38
POSNW16,2018-11-29,11:30:00,DO,10.78
POSNW16,2018-11-08,13:10:00,DO,8.39
POSNW16,2018-12-20,10:53:00,DO,8.71
POSNW16,2018-12-05,09:59:00,DO,9.98
POSNW16,2019-02-06,12:33:00,DO,9.36
POSNW16,2018-09-14,12:55:00,DO,7.87
SWB,2019-01-18,11:27:00,DO,9.2
SWB,2019-01-25,11:57:00,DO,9.51
SWB,2019-01-04,11:13:00,DO,8.47
SWB,2018-10-18,10:13:00,DO,7.44
SWB,2018-10-31,12:21:00,DO,8.12
SWB,2018-11-13,13:44:00,DO,7.97
SWB,2018-11-29,13:15:00,DO,9.11
SWB,2018-11-08,11:30:00,DO,7.88
SWB,2018-12-20,12:37:00,DO,9.19
SWB,2018-12-05,11:40:00,DO,9.17
SWB,2019-02-06,14:35:00,DO,8.74
TUM441,2019-01-18,11:43:00,DO,13.57
TUM441,2019-01-25,12:12:00,DO,10.75
TUM441,2019-01-04,11:28:00,DO,10.05
TUM441,2018-10-18,09:36:00,DO,9.79
TUM441,2018-10-31,12:44:00,DO,11.69
TUM441,2018-11-13,14:05:00,DO,10.67
TUM441,2018-11-29,14:17:00,DO,11.96
TUM441,2018-11-08,11:11:00,DO,10.91
TUM441,2018-12-20,12:53:00,DO,9.33
TUM441,2018-12-05,11:47:00,DO,11.3
TUM441,2019-02-06,14:53:00,DO,12.63
TUM441,2018-09-14,09:45:00,DO,10.45
HAT,2019-01-18,10:38:00,DO_Sat,89.9
HAT,2019-01-25,11:13:00,DO_Sat,82
HAT,2019-01-04,10:34:00,DO_Sat,75.5
HAT,2018-10-18,10:55:00,DO_Sat,52.3
HAT,2018-10-31,11:32:00,DO_Sat,69.6
HAT,2018-11-13,12:54:00,DO_Sat,69.3
HAT,2018-11-29,12:37:00,DO_Sat,89.9
HAT,2018-11-08,12:18:00,DO_Sat,74.9
HAT,2018-12-20,11:51:00,DO_Sat,83.8
HAT,2018-12-05,10:54:00,DO_Sat,84.1
HAT,2019-02-06,13:41:00,DO_Sat,84.9
HAT,2018-09-14,11:06:00,DO_Sat,71.7
HOGDN,2019-01-18,09:14:00,DO_Sat,75.1
HOGDN,2019-01-25,09:49:00,DO_Sat,62
HOGDN,2019-01-04,09:15:00,DO_Sat,44.6
HOGDN,2018-10-18,12:38:00,DO_Sat,48.9
HOGDN,2018-10-31,09:46:00,DO_Sat,74.3
HOGDN,2018-11-13,11:17:00,DO_Sat,65.3
HOGDN,2018-11-29,11:05:00,DO_Sat,83.5
HOGDN,2018-11-08,13:45:00,DO_Sat,74.2
HOGDN,2018-12-20,10:28:00,DO_Sat,66.8
HOGDN,2018-12-05,09:29:00,DO_Sat,64.8
HOGDN,2019-02-06,12:08:00,DO_Sat,49.7
HOGNW16,2019-01-18,09:59:00,DO_Sat,95.7
HOGNW16,2019-01-25,10:33:00,DO_Sat,96.1
HOGNW16,2019-01-04,09:51:00,DO_Sat,91.6
HOGNW16,2018-10-18,11:30:00,DO_Sat,91
HOGNW16,2018-10-31,10:36:00,DO_Sat,91.3
HOGNW16,2018-11-13,12:13:00,DO_Sat,92.1
HOGNW16,2018-11-29,11:47:00,DO_Sat,95
HOGNW16,2018-11-08,12:53:00,DO_Sat,91.8
HOGNW16,2018-12-20,11:11:00,DO_Sat,91.3
HOGNW16,2018-12-05,10:12:00,DO_Sat,93.8
HOGNW16,2018-09-14,13:25:00,DO_Sat,92.3
POSNW16,2019-01-18,09:39:00,DO_Sat,97.1
POSNW16,2019-01-25,10:14:00,DO_Sat,96.1
POSNW16,2019-01-04,09:38:00,DO_Sat,93.8
POSNW16,2018-10-18,11:55:00,DO_Sat,95.7
POSNW16,2018-10-31,10:15:00,DO_Sat,94.4
POSNW16,2018-11-13,11:54:00,DO_Sat,96.2
POSNW16,2018-11-29,11:30:00,DO_Sat,99.3
POSNW16,2018-11-08,13:10:00,DO_Sat,97.3
POSNW16,2018-12-20,10:53:00,DO_Sat,89.4
POSNW16,2018-12-05,09:59:00,DO_Sat,96.4
POSNW16,2019-02-06,12:33:00,DO_Sat,98.5
POSNW16,2018-09-14,12:55:00,DO_Sat,95.8
SWB,2019-01-18,11:27:00,DO_Sat,98.3
SWB,2019-01-25,11:57:00,DO_Sat,99.6
SWB,2019-01-04,11:13:00,DO_Sat,97.9
SWB,2018-10-18,10:13:00,DO_Sat,93.5
SWB,2018-10-31,12:21:00,DO_Sat,95.1
SWB,2018-11-13,13:44:00,DO_Sat,97.7
SWB,2018-11-29,13:15:00,DO_Sat,96.9
SWB,2018-11-08,11:30:00,DO_Sat,96.1
SWB,2018-12-20,12:37:00,DO_Sat,96.7
SWB,2018-12-05,11:40:00,DO_Sat,99.3
SWB,2019-02-06,14:35:00,DO_Sat,97.4
TUM441,2019-01-18,11:43:00,DO_Sat,139.5
TUM441,2019-01-25,12:12:00,DO_Sat,107.3
TUM441,2019-01-04,11:28:00,DO_Sat,114.8
TUM441,2018-10-18,09:36:00,DO_Sat,120.4
TUM441,2018-10-31,12:44:00,DO_Sat,137
TUM441,2018-11-13,14:05:00,DO_Sat,129.5
TUM441,2018-11-29,14:17:00,DO_Sat,117.5
TUM441,2018-11-08,11:11:00,DO_Sat,133.7
TUM441,2018-12-20,12:53:00,DO_Sat,97.4
TUM441,2018-12-05,11:47:00,DO_Sat,115.5
TUM441,2019-02-06,14:53:00,DO_Sat,138.9
TUM441,2018-09-14,09:45:00,DO_Sat,131.4
HAT,2019-01-18,10:38:00,pH,6.78
HAT,2019-01-25,11:13:00,pH,5.77
HAT,2019-01-04,10:34:00,pH,6.29
HAT,2018-10-18,10:55:00,pH,6.66
HAT,2018-10-31,11:32:00,pH,7.1
