Site,Date,Analyte,Result
HAT,9/14/2018,Nitrate-Nitrite (N),0.061
HAT,10/18/2018,Nitrate-Nitrite (N),0.190666667
HAT,10/18/2018,Specific Conductance,97.7
HAT,10/31/2018,Nitrate-Nitrite (N),0.125
HAT,10/31/2018,Specific Conductance,96.4
HAT,11/8/2018,Nitrate-Nitrite (N),0.106
HAT,11/8/2018,Specific Conductance,98
HAT,11/13/2018,Nitrate-Nitrite (N),0.102666667
HAT,11/13/2018,Specific Conductance,112.3
HAT,11/29/2018,Nitrate-Nitrite (N),0.06
HAT,11/29/2018,Specific Conductance,93.2
HAT,12/5/2018,Nitrate-Nitrite (N),0.038
HAT,12/5/2018,Specific Conductance,98.4
HAT,12/20/2018,Nitrate-Nitrite (N),0.069333333
HAT,12/20/2018,Specific Conductance,71.2
HAT,1/4/2019,Nitrate-Nitrite (N),0.007666667
HAT,1/4/2019,Specific Conductance,73.1
HAT,1/18/2019,Nitrate-Nitrite (N),0.027666667
HAT,1/18/2019,Specific Conductance,74.8
HAT,1/25/2019,Nitrate-Nitrite (N),0.01
HAT,1/25/2019,Specific Conductance,57.8
HAT,2/6/2019,Nitrate-Nitrite (N),0.012
HAT,2/6/2019,Specific Conductance,59.6
HAT,2/20/2019,Nitrate-Nitrite (N),0.03
HAT,2/20/2019,Specific Conductance,72.2
HAT,3/22/2019,Nitrate-Nitrite (N),0.165666667
HAT,3/22/2019,Specific Conductance,82.5
HAT,4/3/2019,Nitrate-Nitrite (N),0.097666667
HAT,4/3/2019,Specific Conductance,87.7
HAT,4/24/2019,Nitrate-Nitrite (N),0.085666667
HAT,4/24/2019,Specific Conductance,100.4
HAT,5/7/2019,Nitrate-Nitrite (N),0.076333333
HAT,5/7/2019,Specific Conductance,105.1
HAT,5/24/2019,Nitrate-Nitrite (N),0.033333333
HAT,5/24/2019,Specific Conductance,123.5
HAT,6/6/2019,Nitrate-Nitrite (N),0.008
HAT,6/6/2019,Specific Conductance,115.4
HAT,6/18/2019,Nitrate-Nitrite (N),0.115666667
HAT,6/18/2019,Specific Conductance,122
HAT,7/9/2019,Nitrate-Nitrite (N),0.076333333
HAT,7/9/2019,Specific Conductance,79.2
HAT,7/29/2019,Specific Conductance,69.4
HOGDN,10/18/2018,Nitrate-Nitrite (N),0.223
HOGDN,10/18/2018,Specific Conductance,291.9
HOGDN,10/31/2018,Nitrate-Nitrite (N),0.343666667
HOGDN,10/31/2018,Specific Conductance,290.7
HOGDN,11/8/2018,Nitrate-Nitrite (N),0.305333333
HOGDN,11/8/2018,Specific Conductance,293.3
HOGDN,11/13/2018,Nitrate-Nitrite (N),0.182666667
HOGDN,11/13/2018,Specific Conductance,271
HOGDN,11/29/2018,Nitrate-Nitrite (N),0.223
HOGDN,11/29/2018,Specific Conductance,258.3
HOGDN,12/5/2018,Nitrate-Nitrite (N),0.025333333
HOGDN,12/5/2018,Specific Conductance,214
HOGDN,12/20/2018,Nitrate-Nitrite (N),-0.001333333
HOGDN,12/20/2018,Specific Conductance,170.8
HOGDN,1/4/2019,Nitrate-Nitrite (N),0.112666667
HOGDN,1/4/2019,Specific Conductance,235.6
HOGDN,1/18/2019,Nitrate-Nitrite (N),0.239666667
HOGDN,1/18/2019,Specific Conductance,254
HOGDN,1/25/2019,Nitrate-Nitrite (N),0.022
HOGDN,1/25/2019,Specific Conductance,137.9
HOGDN,2/6/2019,Nitrate-Nitrite (N),0.057333333
HOGDN,2/6/2019,Specific Conductance,227.3
HOGDN,2/20/2019,Nitrate-Nitrite (N),0.131
HOGDN,2/20/2019,Specific Conductance,259.5
HOGDN,3/22/2019,Nitrate-Nitrite (N),0.369
HOGDN,3/22/2019,Specific Conductance,283.5
HOGDN,4/3/2019,Nitrate-Nitrite (N),0.186
HOGDN,4/3/2019,Specific Conductance,242.5
HOGDN,4/24/2019,Nitrate-Nitrite (N),0.327333333
HOGDN,4/24/2019,Specific Conductance,266.5
HOGDN,5/7/2019,Nitrate-Nitrite (N),0.18
HOGDN,5/7/2019,Specific Conductance,231.1
HOGDN,5/24/2019,Nitrate-Nitrite (N),0.348333333
HOGDN,5/24/2019,Specific Conductance,305.3
HOGDN,6/6/2019,Nitrate-Nitrite (N),0.102
HOGDN,6/6/2019,Specific Conductance,223.5
HOGDN,6/18/2019,Nitrate-Nitrite (N),0.047
HOGDN,6/18/2019,Specific Conductance,155.3
HOGDN,7/9/2019,Nitrate-Nitrite (N),0.200333333
HOGDN,7/9/2019,Specific Conductance,240.8
HOGDN,7/29/2019,Specific Conductance,198.5
HOGNW16,9/14/2018,Nitrate-Nitrite (N),0.326
HOGNW16,10/18/2018,Nitrate-Nitrite (N),0.413
HOGNW16,10/18/2018,Specific Conductance,290.2
HOGNW16,10/31/2018,Nitrate-Nitrite (N),0.329
HOGNW16,10/31/2018,Specific Conductance,287
HOGNW16,11/8/2018,Nitrate-Nitrite (N),0.416333333
HOGNW16,11/8/2018,Specific Conductance,288.4
HOGNW16,11/13/2018,Nitrate-Nitrite (N),0.371666667
HOGNW16,11/13/2018,Specific Conductance,287.7
HOGNW16,11/29/2018,Nitrate-Nitrite (N),0.354666667
HOGNW16,11/29/2018,Specific Conductance,278.8
HOGNW16,12/5/2018,Nitrate-Nitrite (N),0.101
HOGNW16,12/5/2018,Specific Conductance,257.8
HOGNW16,12/20/2018,Nitrate-Nitrite (N),0.058666667
HOGNW16,12/20/2018,Specific Conductance,127.6
HOGNW16,1/4/2019,Nitrate-Nitrite (N),0.244666667
HOGNW16,1/4/2019,Specific Conductance,247.1
HOGNW16,1/18/2019,Nitrate-Nitrite (N),0.309
HOGNW16,1/18/2019,Specific Conductance,262.9
HOGNW16,1/25/2019,Nitrate-Nitrite (N),0.115333333
HOGNW16,1/25/2019,Specific Conductance,162.1
HOGNW16,4/3/2019,Nitrate-Nitrite (N),0.335333333
HOGNW16,4/3/2019,Specific Conductance,269.1
HOGNW16,4/24/2019,Nitrate-Nitrite (N),0.408666667
HOGNW16,4/24/2019,Specific Conductance,273
HOGNW16,5/7/2019,Nitrate-Nitrite (N),0.271666667
HOGNW16,5/7/2019,Specific Conductance,249.8
HOGNW16,5/24/2019,Nitrate-Nitrite (N),0.453666667
HOGNW16,5/24/2019,Specific Conductance,294.2
HOGNW16,6/6/2019,Nitrate-Nitrite (N),0.218333333
HOGNW16,6/6/2019,Specific Conductance,271.1
HOGNW16,6/18/2019,Nitrate-Nitrite (N),0.150333333
HOGNW16,6/18/2019,Specific Conductance,215.8
HOGNW16,7/9/2019,Nitrate-Nitrite (N),0.303
HOGNW16,7/9/2019,Specific Conductance,271.6
HOGNW16,7/29/2019,Specific Conductance,197.4
POSNW16,9/14/2018,Nitrate-Nitrite (N),0.617666667
POSNW16,10/18/2018,Nitrate-Nitrite (N),0.961333333
POSNW16,10/18/2018,Specific Conductance,284.4
POSNW16,10/31/2018,Nitrate-Nitrite (N),0.719666667
POSNW16,10/31/2018,Specific Conductance,286.5
POSNW16,11/8/2018,Nitrate-Nitrite (N),0.859333333
POSNW16,11/8/2018,Specific Conductance,278
POSNW16,11/13/2018,Nitrate-Nitrite (N),0.799666667
POSNW16,11/13/2018,Specific Conductance,285.3
POSNW16,11/29/2018,Nitrate-Nitrite (N),0.863666667
POSNW16,11/29/2018,Specific Conductance,271.3
POSNW16,12/5/2018,Nitrate-Nitrite (N),0.580666667
POSNW16,12/5/2018,Specific Conductance,241.5
POSNW16,12/20/2018,Nitrate-Nitrite (N),0.374666667
POSNW16,12/20/2018,Specific Conductance,148.3
POSNW16,1/4/2019,Nitrate-Nitrite (N),0.501333333
POSNW16,1/4/2019,Specific Conductance,249
POSNW16,1/18/2019,Nitrate-Nitrite (N),0.722333333
POSNW16,1/18/2019,Specific Conductance,257
POSNW16,1/25/2019,Nitrate-Nitrite (N),0.234333333
POSNW16,1/25/2019,Specific Conductance,164.4
POSNW16,2/6/2019,Nitrate-Nitrite (N),0.509
POSNW16,2/6/2019,Specific Conductance,236.7
POSNW16,2/20/2019,Nitrate-Nitrite (N),0.629
POSNW16,2/20/2019,Specific Conductance,261.8
POSNW16,3/22/2019,Nitrate-Nitrite (N),0.849333333
POSNW16,3/22/2019,Specific Conductance,286.1
POSNW16,4/3/2019,Nitrate-Nitrite (N),0.692666667
POSNW16,4/3/2019,Specific Conductance,260.3
POSNW16,4/24/2019,Nitrate-Nitrite (N),0.846666667
POSNW16,4/24/2019,Specific Conductance,268.4
POSNW16,5/7/2019,Nitrate-Nitrite (N),0.683
POSNW16,5/7/2019,Specific Conductance,247.1
POSNW16,5/24/2019,Nitrate-Nitrite (N),1.018
POSNW16,5/24/2019,Specific Conductance,293.6
POSNW16,6/6/2019,Nitrate-Nitrite (N),0.396666667
POSNW16,6/6/2019,Specific Conductance,239.7
POSNW16,6/18/2019,Nitrate-Nitrite (N),0.346
POSNW16,6/18/2019,Specific Conductance,210.2
POSNW16,7/9/2019,Nitrate-Nitrite (N),0.596666667
POSNW16,7/9/2019,Specific Conductance,263.5
POSNW16,7/29/2019,Specific Conductance,237.3
SWB,10/18/2018,Nitrate-Nitrite (N),2.459
SWB,10/18/2018,Specific Conductance,858.4
SWB,10/31/2018,Nitrate-Nitrite (N),2.381666667
SWB,10/31/2018,Specific Conductance,773.8
SWB,11/8/2018,Nitrate-Nitrite (N),2.18
SWB,11/8/2018,Specific Conductance,843
SWB,11/13/2018,Nitrate-Nitrite (N),1.815333333
SWB,11/13/2018,Specific Conductance,837
SWB,11/29/2018,Nitrate-Nitrite (N),6.733333333
SWB,11/29/2018,Specific Conductance,801
SWB,12/5/2018,Nitrate-Nitrite (N),3.473333333
SWB,12/5/2018,Specific Conductance,683
SWB,12/20/2018,Nitrate-Nitrite (N),0.202666667
SWB,12/20/2018,Specific Conductance,175.5
SWB,1/4/2019,Nitrate-Nitrite (N),2.232
SWB,1/4/2019,Specific Conductance,770
SWB,1/18/2019,Nitrate-Nitrite (N),2.783
SWB,1/18/2019,Specific Conductance,795
SWB,1/25/2019,Nitrate-Nitrite (N),1.663
SWB,1/25/2019,Specific Conductance,589
SWB,2/6/2019,Nitrate-Nitrite (N),3.836333333
SWB,2/6/2019,Specific Conductance,580
SWB,2/20/2019,Nitrate-Nitrite (N),3.124
SWB,2/20/2019,Specific Conductance,646
SWB,3/22/2019,Nitrate-Nitrite (N),3.534666667
