Site,Date,Time,Analyte,Result
TUM441,11/8/2018,11:11,Temp,25.7
TUM441,11/8/2018,11:11,DO_Sat,133.7
TUM441,11/8/2018,11:11,DO,10.91
TUM441,11/8/2018,11:11,SpCond,395.4
TUM441,11/8/2018,11:11,pH,8.79
TUM441,11/8/2018,11:11,Turb,-2.73
SWB,11/8/2018,11:30,Temp,25.3
SWB,11/8/2018,11:30,DO_Sat,96.1
SWB,11/8/2018,11:30,DO,7.88
SWB,11/8/2018,11:30,SpCond,843
SWB,11/8/2018,11:30,pH,7.65
SWB,11/8/2018,11:30,Turb,-0.37
HAT,11/8/2018,12:18,Temp,22
HAT,11/8/2018,12:18,DO_Sat,74.9
HAT,11/8/2018,12:18,DO,6.55
HAT,11/8/2018,12:18,SpCond,98
HAT,11/8/2018,12:18,pH,6.87
HAT,11/8/2018,12:18,Turb,0.03
HOGNW16,11/8/2018,12:53,Temp,23.3
HOGNW16,11/8/2018,12:53,DO_Sat,91.8
HOGNW16,11/8/2018,12:53,DO,7.83
HOGNW16,11/8/2018,12:53,SpCond,288.4
HOGNW16,11/8/2018,12:53,pH,7.86
HOGNW16,11/8/2018,12:53,Turb,0.96
POSNW16,11/8/2018,13:10,Temp,22.7
POSNW16,11/8/2018,13:10,DO_Sat,97.3
POSNW16,11/8/2018,13:10,DO,8.39
POSNW16,11/8/2018,13:10,SpCond,278
POSNW16,11/8/2018,13:10,pH,7.88
POSNW16,11/8/2018,13:10,Turb,-0.05
HOGDN,11/8/2018,13:45,Temp,23.8
HOGDN,11/8/2018,13:45,DO_Sat,74.2
HOGDN,11/8/2018,13:45,DO,6.25
HOGDN,11/8/2018,13:45,SpCond,293.3
HOGDN,11/8/2018,13:45,pH,7.43
HOGDN,11/8/2018,13:45,Turb,2.05
TUM441,10/31/2018,12:44,Temp,23.3
TUM441,10/31/2018,12:44,DO_Sat,137
TUM441,10/31/2018,12:44,DO,11.69
TUM441,10/31/2018,12:44,SpCond,407.4
TUM441,10/31/2018,12:44,pH,8.71
TUM441,10/31/2018,12:44,Turb,0.7
SWB,10/31/2018,12:21,Temp,23.3
SWB,10/31/2018,12:21,DO_Sat,95.1
SWB,10/31/2018,12:21,DO,8.12
SWB,10/31/2018,12:21,SpCond,773.8
SWB,10/31/2018,12:21,pH,7.69
SWB,10/31/2018,12:21,Turb,1.1
HAT,10/31/2018,11:32,Temp,17.4
HAT,10/31/2018,11:32,DO_Sat,69.6
HAT,10/31/2018,11:32,DO,6.69
HAT,10/31/2018,11:32,SpCond,96.4
HAT,10/31/2018,11:32,pH,7.1
HAT,10/31/2018,11:32,Turb,1.6
HOGNW16,10/31/2018,10:36,Temp,17.8
