Site,REP,Date,Analyte,Result
HAT,a,10/18/2018,NH4,0.1091
HAT,a,10/18/2018,NOx,0.191
HAT,a,10/18/2018,OP,0.224
HAT,a,10/31/2018,NH4,0.1316
HAT,a,10/31/2018,NOx,0.092
HAT,a,10/31/2018,OP,0.157
HAT,a,11/8/2018,NH4,0.1146
HAT,a,11/8/2018,NOx,0.106
HAT,a,11/8/2018,OP,0.23
HAT,a,11/13/2018,NH4,0.0773
HAT,a,11/13/2018,NOx,0.106
HAT,a,11/13/2018,OP,0.222
HAT,a,11/29/2018,NH4,0.1039
HAT,a,11/29/2018,NOx,0.058
HAT,a,11/29/2018,OP,0.224
HAT,a,12/5/2018,NH4,-0.0064
HAT,a,12/5/2018,NOx,0.04
HAT,a,12/5/2018,OP,0.581
HAT,a,12/20/2018,NH4,0.249
HAT,a,12/20/2018,NOx,0.068
HAT,a,12/20/2018,OP,0.255
HAT,a,1/4/2019,NH4,0.0951
HAT,a,1/4/2019,NOx,0.007
HAT,a,1/4/2019,OP,0.067
HAT,a,1/18/2019,NH4,0.3257
HAT,a,1/18/2019,NOx,0.037
HAT,a,1/18/2019,OP,0.053
HAT,a,1/25/2019,NH4,0.0269
HAT,a,1/25/2019,NOx,0.011
HAT,a,1/25/2019,OP,0.094
HAT,a,2/6/2019,NH4,0.5272
HAT,a,2/6/2019,NOx,0.012
HAT,a,2/6/2019,OP,0.046
HAT,a,2/20/2019,NH4,0.0891
HAT,a,2/20/2019,NOx,0.037
HAT,a,2/20/2019,OP,0.083
HAT,a,3/22/2019,NH4,0.8743
HAT,a,3/22/2019,NOx,0.092
HAT,a,3/22/2019,OP,0.132
HAT,a,4/3/2019,NH4,0.2917
HAT,a,4/3/2019,NOx,0.1
HAT,a,4/3/2019,OP,0.147
HAT,a,4/24/2019,NH4,0
HAT,a,4/24/2019,NOx,0.083
HAT,a,4/24/2019,OP,0.139
HAT,b,10/18/2018,NH4,0.1275
HAT,b,10/18/2018,NOx,0.191
HAT,b,10/18/2018,OP,0.199
HAT,b,10/31/2018,NH4,0.2528
HAT,b,10/31/2018,NOx,0.174
HAT,b,10/31/2018,OP,0.392
HAT,b,11/8/2018,NH4,0.0342
HAT,b,11/8/2018,NOx,0.105
HAT,b,11/8/2018,OP,0.224
HAT,b,11/13/2018,NH4,0.0796
HAT,b,11/13/2018,NOx,0.1
HAT,b,11/13/2018,OP,0.209
HAT,b,11/29/2018,NH4,0.1184
HAT,b,11/29/2018,NOx,0.062
HAT,b,11/29/2018,OP,0.225
HAT,b,12/5/2018,NH4,0.0131
HAT,b,12/5/2018,NOx,0.04
HAT,b,12/5/2018,OP,0.589
HAT,b,12/20/2018,NH4,0.3508
HAT,b,12/20/2018,NOx,0.073
HAT,b,12/20/2018,OP,0.262
HAT,b,1/4/2019,NH4,0.1035
HAT,b,1/4/2019,NOx,0.007
HAT,b,1/4/2019,OP,0.071
HAT,b,1/18/2019,NH4,0.3925
HAT,b,1/18/2019,NOx,0.031
HAT,b,1/18/2019,OP,0.148
HAT,b,1/25/2019,NH4,-0.0121
HAT,b,1/25/2019,NOx,0.01
HAT,b,1/25/2019,OP,0.086
HAT,b,2/6/2019,NH4,0.5029
HAT,b,2/6/2019,NOx,0.012
HAT,b,2/6/2019,OP,0.047
HAT,b,2/20/2019,NH4,0.1176
HAT,b,2/20/2019,NOx,0.056
HAT,b,2/20/2019,OP,0.081
HAT,b,3/22/2019,NH4,1.4127
HAT,b,3/22/2019,NOx,0.13
HAT,b,3/22/2019,OP,0.104
HAT,b,4/3/2019,NH4,0.212
HAT,b,4/3/2019,NOx,0.098
HAT,b,4/3/2019,OP,0.152
HAT,b,4/24/2019,NH4,0.0195
HAT,b,4/24/2019,NOx,0.087
HAT,b,4/24/2019,OP,0.139
HAT,c,10/18/2018,NH4,0.1078
HAT,c,10/18/2018,NOx,0.19
HAT,c,10/18/2018,OP,0.187
HAT,c,10/31/2018,NH4,0.2746
HAT,c,10/31/2018,NOx,0.109
HAT,c,10/31/2018,OP,0.163
HAT,c,11/8/2018,NH4,0.077
HAT,c,11/8/2018,NOx,0.107
HAT,c,11/8/2018,OP,0.226
HAT,c,11/13/2018,NH4,0.0926
HAT,c,11/13/2018,NOx,0.102
HAT,c,11/13/2018,OP,0.221
HAT,c,11/29/2018,NH4,0.108
HAT,c,11/29/2018,NOx,0.06
HAT,c,11/29/2018,OP,0.223
HAT,c,12/5/2018,NH4,-0.0032
HAT,c,12/5/2018,NOx,0.034
HAT,c,12/5/2018,OP,0.579
HAT,c,12/20/2018,NH4,0.2803
HAT,c,12/20/2018,NOx,0.067
HAT,c,12/20/2018,OP,0.252
HAT,c,1/4/2019,NH4,0.0991
HAT,c,1/4/2019,NOx,0.009
HAT,c,1/4/2019,OP,0.068
HAT,c,1/18/2019,NH4,0.1658
HAT,c,1/18/2019,NOx,0.015
HAT,c,1/18/2019,OP,0.051
HAT,c,1/25/2019,NH4,0.0185
HAT,c,1/25/2019,NOx,0.009
HAT,c,1/25/2019,OP,0.091
HAT,c,2/6/2019,NH4,0.2439
HAT,c,2/6/2019,NOx,0.012
HAT,c,2/6/2019,OP,0.047
HAT,c,2/20/2019,NH4,0.0552
HAT,c,2/20/2019,NOx,-0.003
HAT,c,2/20/2019,OP,0.083
HAT,c,3/22/2019,NH4,1.2165
HAT,c,3/22/2019,NOx,0.275
HAT,c,3/22/2019,OP,0.107
HAT,c,4/3/2019,NH4,0.194
HAT,c,4/3/2019,NOx,0.095
HAT,c,4/3/2019,OP,0.151
HAT,c,4/24/2019,NH4,-0.0143
HAT,c,4/24/2019,NOx,0.087
HAT,c,4/24/2019,OP,0.137
HOGDN,a,10/18/2018,NH4,0.0806
HOGDN,a,10/18/2018,NOx,0.219
HOGDN,a,10/18/2018,OP,0.766
HOGDN,a,10/31/2018,NH4,0.3413
HOGDN,a,10/31/2018,NOx,0.33
HOGDN,a,10/31/2018,OP,0.686
HOGDN,a,11/8/2018,NH4,0.1434
HOGDN,a,11/8/2018,NOx,0.315
HOGDN,a,11/8/2018,OP,0.815
HOGDN,a,11/13/2018,NH4,0.031
HOGDN,a,11/13/2018,NOx,0.189
HOGDN,a,11/13/2018,OP,0.824
HOGDN,a,11/29/2018,NH4,0.2362
HOGDN,a,11/29/2018,NOx,0.224
HOGDN,a,11/29/2018,OP,0.609
HOGDN,a,12/5/2018,NH4,0.0252
HOGDN,a,12/5/2018,NOx,0.027
HOGDN,a,12/5/2018,OP,0.19
HOGDN,a,12/20/2018,NH4,0.3491
HOGDN,a,12/20/2018,NOx,-0.001
HOGDN,a,12/20/2018,OP,0.059
HOGDN,a,1/4/2019,NH4,-0.0003
HOGDN,a,1/4/2019,NOx,0.025
HOGDN,a,1/4/2019,OP,0.629
HOGDN,a,1/18/2019,NH4,0.2728
HOGDN,a,1/18/2019,NOx,0.279
HOGDN,a,1/18/2019,OP,0.412
HOGDN,a,1/25/2019,NH4,-0.0226
HOGDN,a,1/25/2019,NOx,0.02
HOGDN,a,1/25/2019,OP,0.297
HOGDN,a,2/6/2019,NH4,0.4414
HOGDN,a,2/6/2019,NOx,0.053
HOGDN,a,2/6/2019,OP,0.373
HOGDN,a,2/20/2019,NH4,0.0667
HOGDN,a,2/20/2019,NOx,0.122
HOGDN,a,2/20/2019,OP,0.633
HOGDN,a,3/22/2019,NH4,0.3505
HOGDN,a,3/22/2019,NOx,0.357
HOGDN,a,3/22/2019,OP,0.603
HOGDN,a,4/3/2019,NH4,1.1699
HOGDN,a,4/3/2019,NOx,0.185
HOGDN,a,4/3/2019,OP,0.497
HOGDN,a,4/24/2019,NH4,-0.0196
HOGDN,a,4/24/2019,NOx,0.324
HOGDN,a,4/24/2019,OP,0.632
HOGDN,b,10/18/2018,NH4,0.1168
HOGDN,b,10/18/2018,NOx,0.226
HOGDN,b,10/18/2018,OP,0.759
HOGDN,b,10/31/2018,NH4,0.1882
HOGDN,b,10/31/2018,NOx,0.334
HOGDN,b,10/31/2018,OP,0.675
HOGDN,b,11/8/2018,NH4,0.1257
HOGDN,b,11/8/2018,NOx,0.264
HOGDN,b,11/8/2018,OP,0.805
HOGDN,b,11/13/2018,NH4,0.0106
HOGDN,b,11/13/2018,NOx,0.172
HOGDN,b,11/13/2018,OP,0.812
HOGDN,b,11/29/2018,NH4,0.1749
HOGDN,b,11/29/2018,NOx,0.218
HOGDN,b,11/29/2018,OP,0.604
HOGDN,b,12/5/2018,NH4,0.0375
HOGDN,b,12/5/2018,NOx,0.023
HOGDN,b,12/5/2018,OP,0.19
HOGDN,b,12/20/2018,NH4,0.1637
HOGDN,b,12/20/2018,NOx,-0.002
HOGDN,b,12/20/2018,OP,0.058
HOGDN,b,1/4/2019,NH4,0.0489
HOGDN,b,1/4/2019,NOx,0.283
HOGDN,b,1/4/2019,OP,0.658
HOGDN,b,1/18/2019,NH4,0.1965
HOGDN,b,1/18/2019,NOx,0.222
HOGDN,b,1/18/2019,OP,0.402
HOGDN,b,1/25/2019,NH4,-0.002
HOGDN,b,1/25/2019,NOx,0.025
HOGDN,b,1/25/2019,OP,0.296
HOGDN,b,2/6/2019,NH4,0.6365
HOGDN,b,2/6/2019,NOx,0.059
HOGDN,b,2/6/2019,OP,0.476
HOGDN,b,2/20/2019,NH4,0.0783
HOGDN,b,2/20/2019,NOx,0.122
HOGDN,b,2/20/2019,OP,0.642
HOGDN,b,3/22/2019,NH4,0.2525
HOGDN,b,3/22/2019,NOx,0.372
HOGDN,b,3/22/2019,OP,0.604
HOGDN,b,4/3/2019,NH4,1.3198
HOGDN,b,4/3/2019,NOx,0.183
HOGDN,b,4/3/2019,OP,0.504
HOGDN,b,4/24/2019,NH4,-0.0006
HOGDN,b,4/24/2019,NOx,0.334
HOGDN,b,4/24/2019,OP,0.63
HOGDN,c,10/18/2018,NH4,0.0993
HOGDN,c,10/18/2018,NOx,0.224
HOGDN,c,10/18/2018,OP,0.78
HOGDN,c,10/31/2018,NH4,0.2428
HOGDN,c,10/31/2018,NOx,0.367
HOGDN,c,10/31/2018,OP,0.678
HOGDN,c,11/8/2018,NH4,0.116
HOGDN,c,11/8/2018,NOx,0.337
HOGDN,c,11/8/2018,OP,0.808
HOGDN,c,11/13/2018,NH4,0.0208
HOGDN,c,11/13/2018,NOx,0.187
HOGDN,c,11/13/2018,OP,0.81
HOGDN,c,11/29/2018,NH4,0.2918
HOGDN,c,11/29/2018,NOx,0.227
HOGDN,c,11/29/2018,OP,0.605
HOGDN,c,12/5/2018,NH4,0.0209
HOGDN,c,12/5/2018,NOx,0.026
HOGDN,c,12/5/2018,OP,0.19
HOGDN,c,12/20/2018,NH4,0.114
HOGDN,c,12/20/2018,NOx,-0.001
HOGDN,c,12/20/2018,OP,0.059
HOGDN,c,1/4/2019,NH4,0.0304
HOGDN,c,1/4/2019,NOx,0.03
HOGDN,c,1/4/2019,OP,0.504
HOGDN,c,1/18/2019,NH4,0.1664
HOGDN,c,1/18/2019,NOx,0.218
HOGDN,c,1/18/2019,OP,0.408
HOGDN,c,1/25/2019,NH4,-0.01
HOGDN,c,1/25/2019,NOx,0.021
HOGDN,c,1/25/2019,OP,0.298
HOGDN,c,2/6/2019,NH4,0.8353
HOGDN,c,2/6/2019,NOx,0.06
HOGDN,c,2/6/2019,OP,0.467
HOGDN,c,2/20/2019,NH4,0.0388
HOGDN,c,2/20/2019,NOx,0.149
HOGDN,c,2/20/2019,OP,0.657
HOGDN,c,3/22/2019,NH4,0.1507
HOGDN,c,3/22/2019,NOx,0.378
HOGDN,c,3/22/2019,OP,0.618
HOGDN,c,4/3/2019,NH4,1.9383
HOGDN,c,4/3/2019,NOx,0.19
HOGDN,c,4/3/2019,OP,0.507
HOGDN,c,4/24/2019,NH4,-0.0205
HOGDN,c,4/24/2019,NOx,0.324
HOGDN,c,4/24/2019,OP,0.636
HOGNW16,a,10/18/2018,NH4,0.0491
HOGNW16,a,10/18/2018,NOx,0.453
HOGNW16,a,10/18/2018,OP,0.618
HOGNW16,a,10/31/2018,NH4,1.3794
HOGNW16,a,10/31/2018,NOx,0.343
HOGNW16,a,10/31/2018,OP,0.561
HOGNW16,a,11/8/2018,NH4,0.1236
HOGNW16,a,11/8/2018,NOx,0.417
HOGNW16,a,11/8/2018,OP,0.605
