Date,Site,NH4,NOx,OP,DO,pH,SpCond,Temp,Turb
10/18/2018,HAT,0.1148,0.190666667,0.203333333,4.35,6.66,97.7,24.3,NA
10/18/2018,HOGDN,0.0989,0.223,0.768333333,4,7.38,291.9,25.61,NA
10/18/2018,HOGNW16,0.0483,0.413,0.609333333,7.59,7.95,290.2,24.58,NA
10/18/2018,POSNW16,0.0428,0.961333333,1.031333333,8.03,7.97,284.4,24.13,NA
10/18/2018,SWB,0.1299,2.459,0.416666667,7.44,7.43,858.4,27.12,NA
10/18/2018,TUM441,0.041133333,0.201333333,0.177666667,9.79,8.43,405.8,25.9,NA
10/31/2018,HAT,0.219666667,0.125,0.237333333,6.69,7.1,96.4,17.4,1.6
10/31/2018,HOGDN,0.257433333,0.343666667,0.679666667,7.22,7.46,290.7,16.9,4
10/31/2018,HOGNW16,1.407333333,0.329,0.572666667,8.69,7.84,287,17.8,1.8
10/31/2018,POSNW16,0.716833333,0.719666667,0.874333333,9.1,7.81,286.5,17.09,2.5
10/31/2018,SWB,0.413366667,2.381666667,0.594333333,8.12,7.69,773.8,23.3,1.1
10/31/2018,TUM441,1.181566667,0.160333333,0.114666667,11.69,8.71,407.4,23.3,0.7
11/8/2018,HAT,0.075266667,0.106,0.226666667,6.55,6.87,98,22,0.03
11/8/2018,HOGDN,0.128366667,0.305333333,0.809333333,6.25,7.43,293.3,23.8,2.05
11/8/2018,HOGNW16,0.088166667,0.416333333,0.602333333,7.83,7.86,288.4,23.3,0.96
11/8/2018,POSNW16,0.090866667,0.859333333,0.962666667,8.39,7.88,278,22.7,-0.05
11/8/2018,SWB,0.0838,2.18,0.991333333,7.88,7.65,843,25.3,-0.37
11/8/2018,TUM441,0.252333333,0.179,0.622333333,10.91,8.79,395.4,25.7,-2.73
11/13/2018,HAT,0.083166667,0.102666667,0.217333333,6.09,6.98,112.3,21.7,1.08
11/13/2018,HOGDN,0.0208,0.182666667,0.815333333,5.67,7.3,271,22.3,1.75
11/13/2018,HOGNW16,0.017566667,0.371666667,0.610333333,7.9,7.9,287.7,22.8,1.45
11/13/2018,POSNW16,-0.013433333,0.799666667,1.047333333,8.38,7.96,285.3,22.2,1.22
11/13/2018,SWB,0.008133333,1.815333333,0.223666667,7.97,7.68,837,25.5,0.76
11/13/2018,TUM441,0.012733333,0.109666667,0.146666667,10.67,8.65,394.1,25.1,0.37
11/29/2018,HAT,0.1101,0.06,0.224,10.01,7.24,93.2,10.06,1.86
11/29/2018,HOGDN,0.2343,0.223,0.606,9.55,7.01,258.3,9.4,1.84
11/29/2018,HOGNW16,0.0855,0.354666667,0.507666667,10.16,7.86,278.8,12.3,1.75
11/29/2018,POSNW16,0.1698,0.863666667,0.857666667,10.78,7.87,271.3,11.6,1.18
11/29/2018,SWB,0.5177,6.733333333,0.36,9.11,7.63,801,18.2,1.29
11/29/2018,TUM441,0.094466667,0.037333333,0.131,11.96,8.46,380.7,14.5,0.64
12/5/2018,HAT,0.001166667,0.038,0.583,8.5,7,98.4,14.9,1.43
12/5/2018,HOGDN,0.027866667,0.025333333,0.19,6.85,7.12,214,12.7,1.71
12/5/2018,HOGNW16,0.010733333,0.101,0.112333333,9.65,7.87,257.8,14,1.9
12/5/2018,POSNW16,0.053766667,0.580666667,0.741,9.98,7.83,241.5,13.8,2.08
12/5/2018,SWB,0.0157,3.473333333,0.654666667,9.17,7.79,683,19.1,1.4
12/5/2018,TUM441,0.198933333,0.259666667,0.395,11.3,8.38,351.8,16.4,0.79
12/20/2018,HAT,0.293366667,0.069333333,0.256333333,8.93,6.09,71.2,14.8,2.63
12/20/2018,HOGDN,0.208933333,-0.001333333,0.058666667,6.63,7.37,170.8,15.7,2.73
