Site,Date,Time,DO,pH,SpCond,Temp,Turb
HAT,2018-10-18,10:55:00,4.35,6.66,97.7,24.3,NA
HAT,2018-10-31,11:32:00,6.69,7.1,96.4,17.4,1.6
HAT,2018-11-08,12:18:00,6.55,6.87,98,22,0.03
HAT,2018-11-13,12:54:00,6.09,6.98,112.3,21.7,1.08
HAT,2018-11-29,12:37:00,10.01,7.24,93.2,10.06,1.86
HAT,2018-12-05,10:54:00,8.5,7,98.4,14.9,1.43
HAT,2018-12-20,11:51:00,8.93,6.09,71.2,14.8,2.63
HAT,2019-01-04,10:34:00,6.93,6.29,73.1,19.4,1.2
HAT,2019-01-18,10:38:00,9.91,6.78,74.8,10.9,2.3
HAT,2019-01-25,11:13:00,8.58,5.77,57.8,13.1,2.75
HAT,2019-02-06,13:41:00,8.32,5.9,59.6,16.2,1.53
HAT,2019-02-20,14:40:00,7.27,6.02,72.2,19.6,1.68
HAT,2019-03-22,11:07:00,8.61,6.89,82.5,14.8,2.65
HAT,2019-04-03,14:40:00,8.54,7.15,87.7,16.2,1.6
HAT,2019-04-24,13:10:00,7.39,6.98,100.4,17.7,1.42
HOGDN,2018-10-18,12:38:00,4,7.38,291.9,25.61,NA
HOGDN,2018-10-31,09:46:00,7.22,7.46,290.7,16.9,4
HOGDN,2018-11-08,13:45:00,6.25,7.43,293.3,23.8,2.05
HOGDN,2018-11-13,11:17:00,5.67,7.3,271,22.3,1.75
HOGDN,2018-11-29,11:05:00,9.55,7.01,258.3,9.4,1.84
HOGDN,2018-12-05,09:29:00,6.85,7.12,214,12.7,1.71
HOGDN,2018-12-20,10:28:00,6.63,7.37,170.8,15.7,2.73
HOGDN,2019-01-04,09:15:00,4.05,6.75,235.6,20.1,1.18
HOGDN,2019-01-18,09:14:00,8.23,6.93,254,11.2,1.15
HOGDN,2019-01-25,09:49:00,6.6,6.9,137.9,12.5,5.03
HOGDN,2019-02-06,12:08:00,4.82,6.9,227.3,16.7,1.52
HOGDN,2019-02-20,12:55:00,7.74,7.28,259.5,19.9,1.26
HOGDN,2019-03-22,10:00:00,8.7,7.08,283.5,13.2,1.32
HOGDN,2019-04-03,16:46:00,7.5,7.14,242.5,17.5,2.27
HOGDN,2019-04-24,11:13:00,7.04,7.25,266.5,18.3,5.99
HOGNW16,2018-10-18,11:30:00,7.59,7.95,290.2,24.58,NA
HOGNW16,2018-10-31,10:36:00,8.69,7.84,287,17.8,1.8
HOGNW16,2018-11-08,12:53:00,7.83,7.86,288.4,23.3,0.96
HOGNW16,2018-11-13,12:13:00,7.9,7.9,287.7,22.8,1.45
HOGNW16,2018-11-29,11:47:00,10.16,7.86,278.8,12.3,1.75
HOGNW16,2018-12-05,10:12:00,9.65,7.87,257.8,14,1.9
HOGNW16,2018-12-20,11:11:00,8.81,7.35,127.6,17.1,30.47
HOGNW16,2019-01-04,09:51:00,8.26,7.52,247.1,20.4,2.89
HOGNW16,2019-01-18,09:59:00,9.93,7.74,262.9,13.6,1.87
HOGNW16,2019-01-25,10:33:00,10.01,7.55,162.1,13.4,7.5
HOGNW16,2019-04-03,15:43:00,8.85,7.74,269.1,18.6,1.44
HOGNW16,2019-04-24,12:21:00,8.5,7.74,273,19.9,1.3
POSNW16,2018-10-18,11:55:00,8.03,7.97,284.4,24.13,NA
POSNW16,2018-10-31,10:15:00,9.1,7.81,286.5,17.09,2.5
POSNW16,2018-11-08,13:10:00,8.39,7.88,278,22.7,-0.05
POSNW16,2018-11-13,11:54:00,8.38,7.96,285.3,22.2,1.22
POSNW16,2018-11-29,11:30:00,10.78,7.87,271.3,11.6,1.18
POSNW16,2018-12-05,09:59:00,9.98,7.83,241.5,13.8,2.08
POSNW16,2018-12-20,10:53:00,8.71,7.21,148.3,16.6,16.3
POSNW16,2019-01-04,09:38:00,8.49,7.35,249,20.2,2.79
POSNW16,2019-01-18,09:39:00,10.16,7.49,257,13.3,1.5
POSNW16,2019-01-25,10:14:00,10.09,6.9,164.4,13,5.03
POSNW16,2019-02-06,12:33:00,9.36,7.54,236.7,17.7,4.65
POSNW16,2019-02-20,13:31:00,9.06,7.61,261.8,20.3,1.94
POSNW16,2019-03-22,10:26:00,10.12,7.71,286.1,14.3,1.79
POSNW16,2019-04-03,16:07:00,9.2,7.54,260.3,17.7,1.88
