Site,Date,Analyte,Result
1,6/24/2019,DO_Sat,144.6
1,6/24/2019,pH,8.26
1,6/24/2019,SpCond,389.5
1,6/24/2019,Temp,27
1,6/24/2019,Turb,1.44
2,6/24/2019,DO_Sat,142.5
2,6/24/2019,pH,8.25
2,6/24/2019,SpCond,387.9
2,6/24/2019,Temp,27
2,6/24/2019,Turb,2.4
3,6/24/2019,DO_Sat,134.6
3,6/24/2019,pH,8.23
3,6/24/2019,SpCond,392.9
3,6/24/2019,Temp,27.3
3,6/24/2019,Turb,1.13
4,6/24/2019,DO_Sat,121.5
4,6/24/2019,pH,8.03
4,6/24/2019,SpCond,392
4,6/24/2019,Temp,27
4,6/24/2019,Turb,1.36
5,6/24/2019,DO_Sat,95.2
5,6/24/2019,pH,7.89
5,6/24/2019,SpCond,394.4
5,6/24/2019,Temp,26.4
5,6/24/2019,Turb,1.4
6,6/24/2019,DO_Sat,93.2
6,6/24/2019,pH,7.66
6,6/24/2019,SpCond,391.4
6,6/24/2019,Temp,26.4
6,6/24/2019,Turb,2.04
7,6/24/2019,DO_Sat,92.5
7,6/24/2019,pH,7.68
7,6/24/2019,SpCond,388.9
7,6/24/2019,Temp,26.2
7,6/24/2019,Turb,6.95
8,6/24/2019,DO_Sat,94.1
8,6/24/2019,pH,7.7
8,6/24/2019,SpCond,389.1
8,6/24/2019,Temp,26.4
8,6/24/2019,Turb,2.36
9,6/24/2019,DO_Sat,95
9,6/24/2019,pH,7.71
9,6/24/2019,SpCond,391.6
9,6/24/2019,Temp,26.5
9,6/24/2019,Turb,2.03
10,6/24/2019,DO_Sat,95.7
10,6/24/2019,pH,7.69
10,6/24/2019,SpCond,389.3
10,6/24/2019,Temp,26.9
10,6/24/2019,Turb,2.11
