Site,Date,Time,Parameter,Result
TUM441,11/8/2018,11:11,Temp,25.7
TUM441,11/8/2018,11:11,DO_Sat,133.7
TUM441,11/8/2018,11:11,DO,10.91
TUM441,11/8/2018,11:11,SpCond,395.4
TUM441,11/8/2018,11:11,pH,8.79
TUM441,11/8/2018,11:11,Turb,-2.73
SWB,11/8/2018,11:30,Temp,25.3
SWB,11/8/2018,11:30,DO_Sat,96.1
SWB,11/8/2018,11:30,DO,7.88
SWB,11/8/2018,11:30,SpCond,843
SWB,11/8/2018,11:30,pH,7.65
SWB,11/8/2018,11:30,Turb,-0.37
HAT,11/8/2018,12:18,Temp,22
HAT,11/8/2018,12:18,DO_Sat,74.9
HAT,11/8/2018,12:18,DO,6.55
HAT,11/8/2018,12:18,SpCond,98
HAT,11/8/2018,12:18,pH,6.87
HAT,11/8/2018,12:18,Turb,0.03
HOGNW16,11/8/2018,12:53,Temp,23.3
HOGNW16,11/8/2018,12:53,DO_Sat,91.8
HOGNW16,11/8/2018,12:53,DO,7.83
HOGNW16,11/8/2018,12:53,SpCond,288.4
HOGNW16,11/8/2018,12:53,pH,7.86
HOGNW16,11/8/2018,12:53,Turb,0.96
POSNW16,11/8/2018,13:10,Temp,22.7
POSNW16,11/8/2018,13:10,DO_Sat,97.3
POSNW16,11/8/2018,13:10,DO,8.39
POSNW16,11/8/2018,13:10,SpCond,278
POSNW16,11/8/2018,13:10,pH,7.88
POSNW16,11/8/2018,13:10,Turb,-0.05
HOGDN,11/8/2018,13:45,Temp,23.8
HOGDN,11/8/2018,13:45,DO_Sat,74.2
HOGDN,11/8/2018,13:45,DO,6.25
HOGDN,11/8/2018,13:45,SpCond,293.3
HOGDN,11/8/2018,13:45,pH,7.43
HOGDN,11/8/2018,13:45,Turb,2.05
TUM441,11/8/2018,11:11,NOx,0.125
TUM441,11/8/2018,11:11,NOx,0.118
TUM441,11/8/2018,11:11,NOx,0.294
SWB,11/8/2018,11:30,NOx,2.143
SWB,11/8/2018,11:30,NOx,2.199
SWB,11/8/2018,11:30,NOx,2.198
HAT,11/8/2018,12:18,NOx,0.106
HAT,11/8/2018,12:18,NOx,0.105
HAT,11/8/2018,12:18,NOx,0.107
HOGNW16,11/8/2018,12:53,NOx,0.417
HOGNW16,11/8/2018,12:53,NOx,0.412
HOGNW16,11/8/2018,12:53,NOx,0.42
POSNW16,11/8/2018,13:10,NOx,0.862
POSNW16,11/8/2018,13:10,NOx,0.864
POSNW16,11/8/2018,13:10,NOx,0.852
HOGDN,11/8/2018,13:45,NOx,0.315
HOGDN,11/8/2018,13:45,NOx,0.264
HOGDN,11/8/2018,13:45,NOx,0.337
