Site,Date,Time,DO,DO_Sat,pH,SpCond,Temp,Turb
HAT,1/18/2019,10:38:00,9.91,89.9,6.78,74.8,10.9,2.3
HAT,1/25/2019,11:13:00,8.58,82,5.77,57.8,13.1,2.75
HAT,1/4/2019,10:34:00,6.93,75.5,6.29,73.1,19.4,1.2
HAT,10/18/2018,10:55:00,4.35,52.3,6.66,97.7,24.3,NA
HAT,10/31/2018,11:32:00,6.69,69.6,7.1,96.4,17.4,1.6
HAT,11/13/2018,12:54:00,6.09,69.3,6.98,112.3,21.7,1.08
HAT,11/29/2018,12:37:00,10.01,89.9,7.24,93.2,10.06,1.86
HAT,11/8/2018,12:18:00,6.55,74.9,6.87,98,22,0.03
HAT,12/20/2018,11:51:00,8.93,83.8,6.09,71.2,14.8,2.63
HAT,12/5/2018,10:54:00,8.5,84.1,7,98.4,14.9,1.43
HAT,2/6/2019,13:41:00,8.32,84.9,5.9,59.6,16.2,1.53
HAT,9/14/2018,11:06:00,5.84,71.7,6.15,NA,25.6,3.3
HOGDN,1/18/2019,9:14:00,8.23,75.1,6.93,254,11.2,1.15
HOGDN,1/25/2019,9:49:00,6.6,62,6.9,137.9,12.5,5.03
HOGDN,1/4/2019,9:15:00,4.05,44.6,6.75,235.6,20.1,1.18
HOGDN,10/18/2018,12:38:00,4,48.9,7.38,291.9,25.61,NA
HOGDN,10/31/2018,9:46:00,7.22,74.3,7.46,290.7,16.9,4
HOGDN,11/13/2018,11:17:00,5.67,65.3,7.3,271,22.3,1.75
HOGDN,11/29/2018,11:05:00,9.55,83.5,7.01,258.3,9.4,1.84
HOGDN,11/8/2018,13:45:00,6.25,74.2,7.43,293.3,23.8,2.05
HOGDN,12/20/2018,10:28:00,6.63,66.8,7.37,170.8,15.7,2.73
HOGDN,12/5/2018,9:29:00,6.85,64.8,7.12,214,12.7,1.71
HOGDN,2/6/2019,12:08:00,4.82,49.7,6.9,227.3,16.7,1.52
HOGNW16,1/18/2019,9:59:00,9.93,95.7,7.74,262.9,13.6,1.87
